"BehaviorSpace results (NetLogo 6.3.0)"
"CA 1D Elementary.nlogo"
"1"
"09/14/2023 13:30:17:461 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-512","512","-250","250"
"[run number]","1","2","3","4","5","6"
"OII","true","true","true","true","true","true"
"density","10","10","10","10","10","10"
"OOI","true","true","true","true","true","true"
"IOO","true","true","true","true","true","true"
"background","0","0","0","0","0","0"
"rule","18","22","26","30","45","61"
"III","true","true","true","true","true","true"
"OIO","true","true","true","true","true","true"
"IOI","true","true","true","true","true","true"
"OOO","true","true","true","true","true","true"
"auto-continue?","false","false","false","false","false","false"
"foreground","55","55","55","55","55","55"
"IIO","true","true","true","true","true","true"
"[reporter]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]"
,"7091","9452","7091","43415","149441","149798"
,"7107","9476","7107","43701","150251","150819"
,"7123","9492","7123","44003","150460","150824"
,"7155","9540","7155","44290","151266","151845"
,"7163","9548","7163","44601","151486","151850"
,"7179","9572","7179","44878","152276","152871"
,"7195","9588","7195","45158","152508","152876"
,"7227","9636","7227","45477","153303","153897"
,"7243","9652","7243","45767","153525","153902"
,"7275","9700","7275","46079","154334","154923"
,"7307","9732","7307","46395","154545","154928"
,"7371","9828","7371","46689","155360","155949"
,"7379","9836","7379","47010","155580","155954"
,"7395","9860","7395","47321","156380","156975"
,"7411","9876","7411","47611","156613","156980"
,"7443","9924","7443","47937","157406","158001"
,"7459","9940","7459","48236","157633","158006"
,"7491","9988","7491","48553","158422","159027"
,"7523","10020","7523","48864","158667","159032"
,"7587","10116","7587","49176","159428","160053"
,"7603","10132","7603","49493","159670","160058"
,"7635","10180","7635","49817","160466","161079"
,"7667","10212","7667","50110","160699","161084"
,"7731","10308","7731","50460","161472","162105"
,"7763","10340","7763","50766","161725","162110"
,"7827","10436","7827","51095","162496","163131"
,"7891","10500","7891","51410","162745","163136"
,"8019","10692","8019","51726","163529","164157"
,"8023","10696","8023","52064","163756","164162"
,"8031","10708","8031","52377","164536","165183"
,"8039","10716","8039","52665","164780","165188"
,"8055","10740","8055","53012","165554","166209"
,"8063","10748","8063","53318","165801","166214"
,"8079","10772","8079","53664","166570","167235"
,"8095","10788","8095","53980","166812","167240"
,"8127","10836","8127","54310","167595","168261"
,"8135","10844","8135","54645","167831","168266"
,"8151","10868","8151","54960","168610","169287"
,"8167","10884","8167","55278","168878","169292"
,"8199","10932","8199","55634","169618","170313"
,"8215","10948","8215","55960","169889","170318"
,"8247","10996","8247","56302","170655","171339"
,"8279","11028","8279","56612","170899","171344"
,"8343","11124","8343","56956","171682","172365"
,"8351","11132","8351","57318","171931","172370"
,"8367","11156","8367","57643","172706","173391"
,"8383","11172","8383","57978","172959","173396"
,"8415","11220","8415","58336","173755","174417"
,"8431","11236","8431","58682","173987","174422"
,"8463","11284","8463","59007","174762","175443"
,"8495","11316","8495","59364","175022","175448"
,"8559","11412","8559","59701","175786","176469"
,"8575","11428","8575","60072","176033","176474"
,"8607","11476","8607","60408","176807","177495"
,"8639","11508","8639","60738","177071","177500"
,"8703","11604","8703","61107","177849","178521"
,"8735","11636","8735","61475","178086","178526"
,"8799","11732","8799","61810","178884","179547"
,"8863","11796","8863","62165","179131","179552"
,"8991","11988","8991","62516","179895","180573"
,"8999","11996","8999","62884","180157","180578"
,"9015","12020","9015","63244","180918","181599"
,"9031","12036","9031","63577","181188","181604"
,"9063","12084","9063","63974","181937","182625"
,"9079","12100","9079","64323","182208","182630"
,"9111","12148","9111","64680","182976","183651"
,"9143","12180","9143","65051","183242","183656"
,"9207","12276","9207","65400","183984","184677"
,"9223","12292","9223","65776","184253","184682"
,"9255","12340","9255","66130","185013","185703"
,"9287","12372","9287","66477","185289","185708"
,"9351","12468","9351","66870","186023","186729"
,"9383","12500","9383","67231","186303","186734"
,"9447","12596","9447","67592","187046","187755"
,"9511","12660","9511","67950","187308","187760"
,"9639","12852","9639","68336","188073","188781"
,"9655","12868","9655","68703","188351","188786"
,"9687","12916","9687","69074","189072","189807"
,"9719","12948","9719","69426","189377","189812"
,"9783","13044","9783","69825","190106","190833"
,"9815","13076","9815","70187","190396","190838"
,"9879","13172","9879","70565","191138","191859"
,"9943","13236","9943","70948","191424","191864"
,"10071","13428","10071","71331","192164","192885"
,"10103","13460","10103","71708","192436","192890"
,"10167","13556","10167","72089","193185","193911"
,"10231","13620","10231","72439","193476","193916"
,"10359","13812","10359","72831","194198","194937"
,"10423","13876","10423","73209","194479","194942"
