"BehaviorSpace results (NetLogo 6.3.0)"
"CA 1D Elementary.nlogo"
"1"
"09/14/2023 13:29:59:199 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-512","512","-250","250"
"[run number]","OII","density","OOI","IOO","background","rule","III","OIO","IOI","OOO","auto-continue?","foreground","IIO","[step]","count patches with [pcolor = green]"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","63","972"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","65","33820"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","48","409"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","64","2238"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","59","585"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","66","33860"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","64","974"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","66","33870"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","65","2294"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","67","34881"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","49","417"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","60","601"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","67","34843"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","65","980"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","66","2359"
"6","true","10","true","true","0","61","true","true","true","true","false","55","true","68","34886"
"5","true","10","true","true","0","45","true","true","true","true","false","55","true","68","34888"
"3","true","10","true","true","0","26","true","true","true","true","false","55","true","61","633"
"1","true","10","true","true","0","18","true","true","true","true","false","55","true","50","425"
"2","true","10","true","true","0","22","true","true","true","true","false","55","true","66","984"
"4","true","10","true","true","0","30","true","true","true","true","false","55","true","67","2428"
